120193,103041
120159,103040
120166,102993
120179,103021
120217,103062
120278,103074
120368,103115
120351,103118
120369,103111
120347,103084
120412,103131
120454,103161
120453,103160
120449,103130
120424,103115
120520,103190
120570,103191
120561,103209
120562,103178
120555,103164
120624,103253
120677,103233
120661,103252
120674,103245
120645,103207
120731,103260
120740,103258
120698,103265
120717,103229
120635,103201
120666,103219
120577,103210
120430,103106
120192,102989
119922,102901
119657,102794
119280,102649
118966,102497
118574,102348
118261,102204
118003,102110
117732,102022
117490,101948
117292,101835
117104,101746
117018,101766
116942,101752
116825,101668
116658,101618
116636,101618
116652,101626
116607,101601
116587,101610
116558,101542
116518,101536
116610,101606
116609,101623
116639,101634
116633,101588
116660,101611
116728,101691
116817,101730
116883,101718
116860,101720
116903,101711
117013,101779
117104,101810
117135,101835
117169,101813
117238,101877
117372,101924
117397,101935
117415,101949
117460,101937
117526,101978
117656,102037
117709,102061
117722,102072
117753,102065
117799,102087
117891,102127
117945,102144
117962,102139
117953,102134
118049,102167
118149,102237
118184,102251
118214,102250
118273,102234
118317,102294
118440,102345
118489,102387
118546,102388
118589,102370
118698,102446
118799,102474
118808,102506
118855,102519
118873,102501
118917,102531
119001,102563
118992,102585
118970,102535
118931,102478
118915,102536
118974,102557
118964,102532
118912,102542
118857,102466
118877,102492
118916,102514
118870,102489
118812,102467
118775,102423
118778,102481
118790,102474
118777,102453
118746,102451
118700,102441
118731,102450
118761,102466
118720,102487
118747,102468
118682,102356
118706,102459
118760,102467
118771,102484
118750,102459
118723,102412
118816,102453
118859,102523
118874,102504
118917,102520
118879,102518
118940,102505
119011,102591
119025,102584
119061,102584
119020,102549
119094,102622
119204,102654
119197,102636
119208,102636
119231,102618
119317,102672
119350,102698
119382,102711
119419,102722
119441,102703
119508,102760
119551,102809
119612,102780
119625,102806
119639,102803
119729,102865
119750,102890
119780,102866
119789,102887
119822,102872
119926,102914
119919,102971
119982,102965
119964,102926
119991,102897
120056,102991
120121,103008
120128,103021
120122,103045
120122,103019
120203,103065
120292,103094
120268,103050
120254,103020
120289,103063
120342,103102
120364,103113
120371,103136
120349,103092
120365,103081
120419,103142
120430,103151
120437,103154
120464,103140
120441,103120
120485,103181
120501,103212
120531,103196
120526,103158
120539,103154
120569,103201
120617,103204
120559,103242
120577,103225
120552,103189
120664,103243
120640,103255
120704,103242
120676,103219
120639,103214
120711,103283
120742,103284
120733,103277
120696,103268
120682,103232
120699,103256
120662,103231
120551,103204
120361,103105
120163,103007
119900,102907
119568,102784
119209,102598
118795,102435
118436,102259
118124,102213
117808,102087
