
99586,113119
99659,113187
99636,113187
99677,113198
99630,113175
99629,113213
99685,113237
99635,113190
99629,113193
99631,113237
99679,113259
99617,113151
99644,113232
99631,113117
99661,113152
99586,113007
99541,112907
99499,112714
99416,112651
99359,112485
99246,112431
99316,112345
99267,112241
99180,112120
99151,112052
99271,112124
99153,112003
99182,112064
99113,112046
99202,112057
99231,112037
99167,112003
99155,111994
99220,112048
99158,112044
99179,112091
99178,112054
99195,112103
99201,112095
99193,112045
99158,112100
99245,112137
99276,112151
99258,112141
99215,112082
99240,112111
99260,112142
99198,112066
99215,112159
99317,112169
99273,112168
99199,112148
99223,112174
99299,112230
99303,112242
99230,112224
99239,112237
99340,112358
99277,112286
99303,112331
99217,112277
99310,112379
99308,112388
99290,112312
99276,112367
99329,112394
99387,112445
99305,112382
99284,112405
99373,112414
99379,112493
99333,112430
99265,112455
99383,112457
99361,112471
99286,112429
99353,112473
99405,112483
99347,112511
99334,112491
99340,112480
99369,112484
99397,112536
99316,112456
99355,112519
99394,112538
99412,112563
99407,112556
99402,112612
99426,112664
99381,112603
99373,112615
99426,112672
99410,112641
99466,112657
99373,112617
99400,112709
99479,112744
99452,112686
99385,112657
99433,112698
99495,112791
99483,112774
99429,112690
99412,112741
99548,112796
99508,112837
99420,112765
99487,112850
99536,112875
99509,112844
99481,112839
99545,112895
99520,112920
99527,112910
99508,112824
99520,112883
99590,112906
99491,112892
99531,112913
99525,112958
99518,112902
99571,113010
99545,112921
99553,113029
99509,113008
99524,112969
99512,112942
99594,113017
99580,113071
99523,112990
99513,112942
99580,113047
99569,113034
99575,113055
99512,112989
99593,113113
99642,113081
99586,113087
99543,113078
99609,113097
99598,113070
99551,113088
99589,113074
99668,113142
99634,113188
99609,113189
99532,113067
99615,113217
99624,113229
99629,113225
99558,113197
99680,113254
99676,113224
99626,113252
99652,113275
99674,113297
99651,113276
99640,113230
99606,113244
99640,113249
99649,113247
99632,113215
99559,113127
99594,113062
99526,112952
99520,112870
99402,112628
99391,112607
99327,112478
99271,112337
99282,112317
99288,112303
99258,112238
99242,112143
99133,112070
99215,112081
99235,112148
99199,112065
99157,112117
99204,112168
99250,112206
99260,112180
99186,112157
99276,112209
99227,112198
99274,112206
99211,112212
99240,112228
99254,112209
99219,112180
99241,112173
99220,112222
99252,112220
99242,112214
99249,112216
99334,112316
99315,112314
99260,112246
99211,112282
99331,112320
99260,112320
99319,112309
99280,112352
99350,112432
99353,112428
99333,112442
99301,112394
99340,112446
99333,112420
99341,112521
99279,112428
99369,112508
99345,112502
99351,112472
99327,112472
99369,112584
99416,112578
99361,112501
99299,112545
99378,112603
99460,112592
99363,112504
99398,112592
99390,112638
99404,112634
99394,112580
99327,112568
99411,112648
99370,112612
99367,112573
99320,112575
99422,112685
99451,112676
99395,112665
99410,112587
99438,112711
99404,112641
99392,112701
99444,112744
99481,112786
99459,112741
99452,112704
99408,112706
99426,112783
99524,112857
99466,112839
99455,112816
99497,112893
99519,112823
99416,112793
99413,112810
99527,112912
99524,112939
99510,112849
99474,112886
99514,112934
99526,112924
99509,112912
99527,112938
99547,112964
99574,113002
99553,112950
99532,113002
99567,113047
99560,113001
99554,113039
99539,113047
99628,113067
99540,113038
99559,112992
99591,113083
99591,113044
99561,113047
99560,113020
99593,113073
99669,113110
99610,113110
99561,113096
99572,113120
99602,113153
99525,113090
99583,113109
99664,113205
99614,113177
99647,113139
99615,113142
99601,113161
99571,113187
99679,113191
99592,113194
99606,113228
99659,113293
99674,113272
99664,113209
99600,113203
99644,113258
99660,113316
99586,113203
99620,113276
99672,113321
99648,113295
99639,113190
99664,113244
99587,113141
99565,113072
99519,112978
99542,112948
99437,112743
99399,112698
99340,112524
99351,112501
99315,112457
99316,112346
99213,112255
99227,112210
99203,112181
99207,112160
99117,112077
99250,112160
99220,112173
99254,112203
99198,112150
99163,112202
99269,112229
99230,112222
99151,112131
99248,112235
99254,112246
99204,112250
99205,112271
99228,112297
99255,112303
99250,112259
99204,112275
99293,112310
99280,112340
99309,112307
99263,112325
99303,112426
99347,112411
99350,112431
99260,112418
99402,112489
99322,112456
99352,112488
99328,112477
99420,112635
99352,112567
99385,112557
99337,112535
99431,112645
99407,112632
99404,112612
99328,112582
99431,112662
99371,112610
99383,112576
99303,112542
99429,112651
99372,112568
99392,112609
99369,112599
99406,112627
99413,112587
99350,112604
99381,112560
99426,112684
99431,112652
99383,112589
99326,112533
99461,112673
99427,112700
99420,112673
99360,112611
99413,112686
99432,112685
99424,112645
99386,112645
99422,112711
99481,112748
99418,112695
99377,112711
99507,112842
99448,112797
99485,112801
99516,112841
99474,112842
99486,112805
99455,112821
99447,112816
99517,112857
99557,112919
99516,112912
99515,112920
99570,112972
99599,113003
99536,112971
99496,112970
99579,113016
99526,112997
99500,112948
99495,112949
99536,113025
99616,113082
99592,113041
99487,112993
99596,113050
99592,113026
99550,113018
99552,113047
99600,113075
99606,113060
99564,113123
99555,113101
99643,113150
99614,113164
99577,113136
99562,113119
99650,113177
99608,113143
99596,113110
99570,113107
99634,113170
99606,113167
99634,113221
99618,113232
99632,113239
99651,113262
99670,113219
99611,113219
99596,113190
99587,113139
99555,113024
99479,112878
99474,112845
99384,112681
99299,112541
99278,112490
99372,112499
99297,112398
99215,112296
99219,112273
99239,112264
99241,112244
99180,112187
99163,112178
99186,112171
99166,112211
99235,112213
99178,112233
99228,112293
99218,112247
99255,112280
99274,112395
99303,112389
99313,112400
99269,112328
99245,112339
99309,112354
99306,112435
99272,112403
99288,112360
99339,112425
99346,112478
99285,112388
99346,112512
99410,112520
99350,112462
99348,112532
99398,112550
99420,112574
99372,112597
99338,112537
99367,112602
99426,112677
99422,112614
99349,112576
99382,112655
99449,112696
99452,112721
99433,112653
99440,112766
99448,112731
99443,112751
99366,112646
99438,112746
99435,112665
99404,112719
99421,112740
99478,112761
99488,112729
99480,112740
99429,112727
99446,112738
99471,112746
99414,112713
99421,112703
99506,112806
99490,112810
99424,112711
99394,112682
99493,112793
99470,112816
99472,112753
99466,112780
99508,112876
99473,112846
99526,112911
99483,112846
99524,112894
99488,112891
99531,112918
99471,112854
99504,112889
99515,112984
99553,112931
99507,112946
99569,112990
99512,113003
99563,112956
99534,112964
99625,113071
99551,113033
99531,112993
99530,113008
99599,113098
99570,113089
99566,113073
99498,113045
99526,113070
99569,113071
99561,113060
99510,113036
99613,113141
99588,113079
99550,113122
99495,113049
99625,113133
99644,113191
99622,113169
99573,113147
99622,113136
99656,113202
99600,113180
99578,113182
99615,113285
99646,113185
99614,113155
99589,113228
99620,113221
99634,113253
99641,113254
99538,113143
99650,113210
99594,113119
99505,112968
99448,112869
99440,112827
99409,112690
99330,112517
99299,112412
99318,112354
99289,112317
99218,112220
99141,112137
99222,112150
99177,112068
99170,112070
99089,112001
99146,112049
99215,112052
99138,112036
99106,112071
99186,112102
99217,112153
99224,112191
99175,112168
99247,112201
99245,112230
99225,112254
99194,112240
99296,112271
99246,112256
99215,112250
99169,112200
99268,112271
99290,112324
99300,112332
99244,112248
99314,112364
99341,112432
99311,112376
99283,112379
99307,112466
99317,112411
99274,112403
99277,112449
99406,112550
99391,112586
99375,112564
99356,112555
99442,112634
99366,112589
99333,112511
99330,112503
99409,112642
99383,112592
99389,112566
99358,112620
99419,112634
99390,112624
99373,112640
99333,112575
99428,112574
99388,112602
99322,112599
99393,112664
99386,112671
99385,112616
99319,112641
99344,112658
99427,112645
99400,112663
99368,112666
99345,112665
99409,112691
99488,112741
99452,112742
99401,112752
99493,112834
99502,112833
99449,112758
99444,112858
99503,112857
99506,112892
99488,112844
99448,112883
99501,112851
99489,112894
99483,112853
99451,112867
99478,112894
99499,112962
99529,112955
99536,113011
99578,112977
99533,112947
99476,112989
99513,113056
99554,113048
99614,113022
99482,112986
99517,113081
99566,113100
99606,113090
99561,113028
99515,113043
99542,113060
99542,113080
99542,113099
99512,113087
99585,113123
99545,113078
99563,113082
99596,113113
99571,113172
99622,113147
99525,113097
99591,113209
99613,113167
99560,113138
99529,113100
99632,113177
99638,113157
99594,113098
99486,112954
99463,112854
99468,112826
99422,112634
99309,112459
99280,112417
99292,112345
99271,112251
99164,112099
99193,112129
99154,112036
99142,112028
99072,111947
99133,112029
99129,112003
99131,111997
99099,111932
99146,112062
99140,112079
99161,112099
99136,112041
99177,112162
99233,112188
99139,112143
99148,112118
99226,112215
99244,112225
99234,112182
99115,112109
99162,112191
99204,112230
99229,112241
99166,112193
99228,112272
99214,112241
99247,112294
99229,112230
99253,112338
99279,112366
99306,112368
99198,112280
99272,112383
99309,112404
99325,112408
99223,112361
99329,112469
99369,112553
