107258,129111
107311,130989
107350,130797
107368,130833
107348,130837
107346,130825
107321,130844
107327,130846
107353,130870
107348,130840
107346,130752
107300,130643
107210,130506
107182,130403
107165,130321
107157,130266
107163,130216
107135,130154
107103,130093
107083,130059
107064,130019
107076,130042
107105,130043
107111,130034
107092,130009
107055,129965
107037,129949
107041,129950
107062,129997
107096,130017
107106,130048
107119,130043
107089,130038
107068,130033
107073,130026
107056,130080
107089,130110
107128,130134
107113,130150
107153,130136
107095,130121
107082,130105
107071,130118
107076,130117
107104,130168
107135,130209
107177,130233
107173,130265
107178,130263
107136,130263
107121,130247
107143,130301
107135,130308
107172,130357
107203,130414
107236,130440
107232,130463
107231,130464
107207,130468
107181,130452
107206,130445
107208,130510
107272,130541
107294,130614
107291,130621
107308,130662
107281,130647
107258,130642
107254,130666
107248,130667
107269,130664
107287,130723
107323,130772
107350,130817
107359,130807
107348,130840
107346,130818
107323,130864
107335,130875
107338,130907
107373,130927
107369,130985
107408,130944
107365,130913
107344,130783
107301,130679
107239,130555
107193,130452
107157,130355
107143,130293
107163,130270
107161,130243
107145,130192
107122,130187
107123,130128
107106,130101
107089,130083
107073,130090
