ir,red
118373,102736
118361,102711
118279,102669
118349,102776
118367,102756
118298,102726
118258,102686
118204,102638
118215,102659
118218,102677
118193,102667
118103,102629
118070,102623
118105,102639
118108,102647
118079,102655
118052,102576
117974,102564
118036,102628
118039,102591
118059,102621
117995,102577
117996,102572
118050,102641
118092,102645
118092,102663
118057,102631
118040,102627
118144,102659
118162,102680
118162,102698
118156,102657
118172,102661
118218,102703
118277,102704
118272,102715
118271,102685
118273,102695
118368,102754
118382,102768
118422,102773
118413,102737
118405,102767
118482,102785
118507,102859
118534,102800
118515,102781
118514,102785
118587,102862
118605,102846
118635,102848
118567,102794
118619,102793
118662,102880
118715,102891
118725,102867
118709,102876
118708,102893
118755,102911
118794,102933
118793,102903
118735,102846
118753,102914
118817,102936
118812,102955
118850,102903
118839,102890
118861,102920
118892,102973
118902,102971
118950,102983
118889,102939
118951,102974
119006,103016
119026,103007
119069,103040
119048,102981
119081,103020
119140,103090
119217,103086
119231,103084
119231,103044
119266,103103
119335,103146
119372,103162
119398,103123
119381,103168
119385,103135
119443,103200
119449,103182
119407,103175
119303,103093
119266,103052
119171,103057
119001,102973
118733,102844
118443,102676
118138,102580
117841,102502
117565,102399
117301,102267
117032,102150
116854,102110
116727,102074
116595,101982
116474,101938
116334,101851
116210,101842
116161,101815
116063,101786
115943,101716
115844,101671
115852,101687
115865,101706
115821,101678
115823,101663
115765,101656
115765,101683
115820,101710
115836,101699
115820,101691
115832,101677
115891,101692
115979,101757
115990,101761
116013,101763
115993,101741
116107,101780
116147,101810
116184,101829
116177,101831
116171,101799
116274,101882
116346,101891
116376,101914
116324,101909
116330,101889
116427,101944
116456,101952
116498,101972
116480,101969
116454,101922
116534,101997
116609,102055
116629,102054
116618,102010
116618,102015
116698,102061
116798,102119
116832,102126
116855,102133
116867,102099
117000,102178
117062,102211
117113,102235
117151,102259
117183,102213
117293,102300
117351,102325
117357,102327
117406,102352
117387,102314
117429,102340
117472,102339
117471,102354
117454,102311
117428,102286
117437,102362
117452,102364
117448,102352
117417,102328
117360,102275
117420,102330
117432,102331
117401,102309
117342,102273
117349,102252
117394,102298
117363,102318
117365,102307
117337,102287
117308,102249
117361,102339
117381,102368
117383,102345
117416,102318
117402,102293
117521,102348
117506,102381
117533,102347
117529,102359
117563,102368
117661,102406
117700,102457
117706,102455
117749,102414
117702,102416
117817,102496
117873,102500
117867,102520
117883,102511
117914,102503
118014,102558
118082,102567
118089,102612
118129,102566
118136,102597
118213,102666
118294,102689
118302,102707
118319,102668
118372,102695
118481,102782
118490,102742
118539,102740
118521,102731
118566,102753
118671,102807
118677,102821
118711,102837
118695,102816
118737,102844
118819,102892
118840,102898
118872,102887
118857,102869
118909,102896
118970,102951
119013,102946
119055,102954
119048,102939
119079,102976
119146,103039
119156,103021
119162,103047
119167,102986
119227,103033
119289,103076
119307,103071
119315,103107
119303,103051
119339,103092
119447,103121
119428,103110
119434,103132
119436,103094
119451,103124
119546,103210
119564,103181
119569,103169
119593,103150
119618,103201
119675,103235
119692,103265
119683,103237
119643,103195
119669,103217
119603,103238
119507,103129
119349,103044
119062,102905
118777,102819
118503,102708
118142,102568
117765,102405
117420,102243
117162,102166
116960,102099
116746,102009
116571,101930
116374,101810
116281,101834
116231,101805
116083,101753
115999,101698
115887,101635
115830,101629
115810,101653
115755,101663
115726,101611
115672,101554
115739,101615
115779,101595
115790,101616
115768,101609
115747,101563
115802,101627
115902,101652
115886,101698
115905,101701
115926,101643
116013,101697
116098,101773
116153,101761
116144,101780
116139,101757
116232,101807
116315,101849
116348,101842
116371,101865
116368,101828
116459,101879
116505,101930
116540,101911
116561,101893
116527,101860
116638,101954
116644,101973
116669,101974
116710,102006
116728,101983
116815,102025
116843,102061
116897,102065
116924,102083
116986,102083
117071,102144
117155,102170
117221,102197
117286,102231
117316,102202
117458,102295
117553,102340
117601,102353
117603,102337
117642,102348
117744,102408
117735,102442
117768,102448
117792,102415
117783,102386
117844,102432
117867,102445
117845,102411
117816,102385
117760,102368
117799,102424
117778,102404
117756,102400
117696,102357
117621,102328
117652,102348
117648,102372
117609,102325
117505,102289
117490,102266
117554,102335
117552,102301
117543,102283
117463,102272
117488,102271
117486,102315
117547,102329
117517,102291
117470,102272
117471,102274
117541,102300
117561,102303
117531,102304
117542,102313
117575,102302
117638,102361
117650,102377
117646,102387
117648,102377
117691,102352
117757,102400
117827,102452
117828,102424
117849,102394
117884,102421
117953,102470
117997,102450
117980,102482
118013,102472
118052,102484
118085,102542
118119,102560
118156,102561
118164,102527
118195,102543
118282,102609
118299,102581
118333,102626
118319,102607
118375,102622
118451,102670
118481,102716
118532,102690
118489,102655
118529,102694
118595,102731
118656,102701
118634,102701
118640,102696
118668,102701
118696,102784
118781,102803
118791,102768
118754,102716
118809,102783
118883,102836
118906,102822
118917,102834
118912,102794
118918,102830
118979,102886
119006,102897
119053,102882
119034,102870
119103,102886
119133,102938
119173,102914
119152,102925
119192,102923
119233,102957
119276,102987
119316,103011
119340,102964
119290,102967
119329,103004
119398,103030
119384,103017
119376,102988
119316,102990
119291,102947
119208,102928
119033,102851
118802,102765
118474,102570
118192,102482
117860,102330
117466,102190
117098,102058
116800,101913
116593,101818
116451,101784
116218,101698
116063,101662
115895,101553
115811,101557
115727,101554
115651,101500
115519,101426
115418,101350
115398,101364
115410,101388
115307,101358
115307,101337
115217,101267
115297,101323
115288,101317
115321,101370
115319,101350
115287,101330
115393,101393
115450,101409
115468,101429
115503,101416
115538,101425
115605,101497
115691,101515
115708,101514
115723,101520
115734,101488
115832,101552
115887,101592
115885,101578
115904,101577
115925,101566
115946,101628
116039,101629
116036,101674
116048,101641
116031,101636
116100,101686
116172,101736
116178,101693
116197,101712
116185,101702
116268,101754
116310,101782
116373,101798
116349,101814
116377,101797
116506,101854
116621,101908
116665,101904
116669,101921
116742,101909
116842,101965
116892,102036
116919,102019
116918,102011
116917,101981
117010,102027
116982,102066
117000,102021
116984,102018
116972,102027
117040,102050
116979,102070
116962,102070
116942,102015
116928,102006
116984,102036
116983,102038
116969,102023
116928,101993
116871,101963
116910,101995
116924,102019
116860,102004
116855,101936
116854,101932
116905,102040
116924,102023
116937,101980
116896,101988
116905,101978
